ARB ID,Facility Name,"Report
Year","Total CO2e 
(combustion, process, vented, and supplier)",AEL, Emitter CO2e from Non-Biogenic Sources and CH4 and N2O from Biogenic Fuels , Emitter CO2 from Biogenic Fuels , Fuel Supplier CO2e from Non-Biogenic Fuels and CH4 and N2O from Biogenic Fuels , Fuel Supplier CO2 from Biogenic Fuels , Electricity Importer CO2e  ," Emitter Covered
Emissions "," Fuel Supplier Covered
Emissions ", Electricity Importer Covered Emissions , Total Covered Emissions , Total Non-Covered Emissions  ,Emissions Data,Product Data,Verification Body,City,State,Zip Code,"North American Industry Classification System (NAICS) 
Code and Description",U.S.EPA/ARB Subparts,Industry Sector
3006,3 Phases Renewables,2012,0,No,0,0,0,0,0,0,0,0,0,0,N/A,N/A,,Manhattan Beach,CA,90266,541690 - Other Scientific and Technical Consulting Services,EPE,Electricity Importer
104356,3M Corona,2012,"12,584",No,"12,584",0,0,0,0,0,0,0,0,"12,584",N/A,N/A,,Corona,CA,92881,212319 - Other Crushed and Broken Stone Mining and Quarrying,C,Other Combustion Source
104213,ABI Foundry,2012,"12,930",No,"12,930",0,0,0,0,0,0,0,0,"12,930",N/A,N/A,,Oakland,CA,94621,331511 - Iron Foundries,C,Other Combustion Source
100001,ACE Cogeneration,2012,"581,315",No,"581,315",0,0,0,0,"581,315",0,0,"581,315",0,Positive,N/A,Analytical Environmental Services,Trona,CA,93562,221112 - Fossil Fuel Electric Power Generation,C,Cogeneration
104347,"Aemetis Advanced Fuels Keyes, Inc.",2012,"71,390",No,"71,390",0,0,0,0,"71,390",0,0,"71,390",0,Positive,N/A,Analytical Environmental Services,Keyes,CA,95328,325193 - Ethyl Alcohol Manufacturing,C,Other Combustion Source
104019,Aera Energy Belridge Gas Plant 32,2012,"223,972",No,"37,979",0,"185,993",0,0,"37,403","44,656",0,"82,059","141,913",Positive,Positive,"NSF International Strategic Registrations, Ltd.",McKittrick,CA,93251,211112 - Natural Gas Liquid Extraction,"C,NN,W","Oil and Gas Production / Supplier of Natural Gas, NGL, or LPG"
104018,Aera Energy Coastal Basins,2012,"172,040",No,"172,040",0,0,0,0,"171,639",0,0,"171,639",400,Positive,Positive,"NSF International Strategic Registrations, Ltd.",San Ardo,CA,93450,211111 - Crude Petroleum and Natural Gas Extraction,"C,W",Oil and Gas Production
104016,Aera Energy San Joaquin Basin,2012,"3,105,981",No,"3,105,981",0,0,0,0,"3,075,243",0,0,"3,075,243","30,738",Positive,Positive,"NSF International Strategic Registrations, Ltd.",Bakersfield,CA,93311,211111 - Crude Petroleum and Natural Gas Extraction,"C,W",Oil and Gas Production
104017,Aera Energy Ventura Basin,2012,"14,289",No,"14,289",0,0,0,0,"12,559",0,0,"12,559","1,730",Positive,Positive,"NSF International Strategic Registrations, Ltd.",Ventura,CA,93301,211111 - Crude Petroleum and Natural Gas Extraction,"C,W",Oil and Gas Production
104020,Aera Energy Ventura Gas Plant,2012,"7,869",No,"7,869",0,0,0,0,0,0,0,0,"7,869",Positive,N/A,"NSF International Strategic Registrations, Ltd.",Ventura,CA,93001,211112 - Natural Gas Liquid Extraction,C,Oil and Gas Production
